Hiders,Seekers,Cells,Obstacles,Max Rounds,Rounds Played,Game Length
6,2,160,66,35,35,Long
1,1,49,0,41,21,Short
1,1,49,0,48,22,Short
1,2,49,9,39,39,Long
2,2,25,0,23,10,Short
2,2,49,8,37,18,Short
4,2,160,79,21,17,Long
4,2,160,79,36,36,Long
2,2,25,0,44,20,Short
1,1,49,0,21,11,Short
4,2,160,79,42,27,Medium
6,2,160,66,10,6,Medium
2,2,25,0,19,9,Short
2,2,25,0,45,22,Short
4,2,160,79,16,10,Medium
4,2,160,79,42,32,Medium
2,2,25,0,23,12,Short
2,2,25,0,12,11,Long
2,2,49,8,14,8,Medium
2,2,49,8,42,20,Short
1,2,49,9,40,40,Long
6,2,160,66,45,36,Long
4,2,160,79,32,26,Long
1,2,49,9,38,38,Long
1,2,49,9,18,18,Long
4,2,160,79,15,12,Long
2,2,49,8,28,16,Short
1,2,49,9,28,28,Long
1,1,49,0,39,18,Short
2,2,25,0,29,15,Short
2,2,25,0,30,14,Short
6,2,160,66,16,15,Long
2,2,49,8,45,23,Short
1,2,49,9,41,41,Long
4,2,160,79,17,12,Medium
2,2,49,8,14,9,Medium
6,2,160,66,23,20,Long
1,2,49,9,26,26,Long
1,2,49,9,19,19,Long
4,2,160,79,15,15,Long
2,2,49,8,50,24,Short
4,2,160,79,16,16,Long
1,2,49,9,23,23,Long
1,2,49,9,43,43,Long
1,2,49,9,14,14,Long
2,2,49,8,31,17,Short
6,2,160,66,37,36,Long
4,2,160,79,42,40,Long
2,2,25,0,50,22,Short
1,1,49,0,43,20,Short
1,1,49,0,38,17,Short
4,2,160,79,15,13,Long
1,1,49,0,32,15,Short
2,2,25,0,50,23,Short
1,2,49,9,28,28,Long
2,2,25,0,44,19,Short
6,2,160,66,38,25,Medium
1,2,49,9,43,43,Long
4,2,160,79,39,39,Long
6,2,160,66,40,30,Medium
1,1,49,0,33,16,Short
6,2,160,66,22,15,Medium
1,1,49,0,23,14,Medium
1,2,49,9,41,41,Long
1,1,49,0,45,21,Short
2,2,49,8,25,14,Short
6,2,160,66,46,36,Medium
1,2,49,9,17,17,Long
1,2,49,9,46,46,Long
4,2,160,79,39,39,Long
1,2,49,9,10,10,Long
2,2,25,0,35,16,Short
2,2,25,0,17,7,Short
6,2,160,66,33,26,Medium
6,2,160,66,34,34,Long
1,2,49,9,30,30,Long
2,2,49,8,24,15,Medium
2,2,49,8,39,21,Short
2,2,25,0,26,11,Short
1,2,49,9,46,46,Long
4,2,160,79,23,17,Medium
2,2,49,8,42,21,Short
4,2,160,79,34,34,Long
6,2,160,66,25,23,Long
6,2,160,66,24,14,Medium
2,2,25,0,12,6,Short
4,2,160,79,35,21,Medium
1,2,49,9,10,10,Long
2,2,25,0,44,20,Short
4,2,160,79,14,14,Long
6,2,160,66,22,14,Medium
2,2,49,8,37,20,Short
1,2,49,9,38,38,Long
4,2,160,79,35,28,Long
4,2,160,79,33,33,Long
2,2,25,0,10,7,Medium
2,2,49,8,14,10,Medium
1,2,49,9,48,48,Long
2,2,25,0,26,15,Short
2,2,49,8,34,18,Short
4,2,160,79,16,16,Long
6,2,160,66,46,42,Long
2,2,25,0,42,19,Short
1,2,49,9,14,14,Long
1,2,49,9,19,19,Long
2,2,25,0,46,22,Short
2,2,25,0,16,7,Short
1,2,49,9,40,40,Long
1,1,49,0,14,8,Medium
2,2,49,8,45,22,Short
2,2,25,0,47,20,Short
2,2,49,8,18,11,Medium
6,2,160,66,25,16,Medium
6,2,160,66,31,31,Long
1,1,49,0,35,17,Short
2,2,25,0,46,22,Short
1,1,49,0,26,13,Short
4,2,160,79,41,31,Medium
2,2,25,0,42,18,Short
1,2,49,9,22,22,Long
2,2,49,8,25,14,Short
6,2,160,66,29,24,Long
2,2,49,8,13,9,Medium
4,2,160,79,16,15,Long
2,2,25,0,24,13,Short
4,2,160,79,14,10,Medium
4,2,160,79,21,20,Long
1,2,49,9,30,30,Long
4,2,160,79,49,49,Long
1,2,49,9,39,39,Long
1,1,49,0,13,13,Long
1,1,49,0,40,18,Short
4,2,160,79,19,12,Medium
1,2,49,9,31,31,Long
1,1,49,0,40,19,Short
1,1,49,0,17,9,Short
2,2,49,8,17,9,Short
1,2,49,9,38,38,Long
1,1,49,0,22,11,Short
4,2,160,79,11,11,Long
1,1,49,0,38,18,Short
2,2,25,0,47,19,Short
4,2,160,79,49,42,Long
4,2,160,79,45,43,Long
6,2,160,66,42,36,Long
1,2,49,9,11,11,Long
6,2,160,66,49,35,Medium
6,2,160,66,30,25,Long
1,1,49,0,29,13,Short
2,2,25,0,23,10,Short
4,2,160,79,21,21,Long
4,2,160,79,50,48,Long
2,2,49,8,11,10,Long
2,2,49,8,48,28,Short
1,2,49,9,15,15,Long
2,2,25,0,29,15,Short
2,2,25,0,14,6,Short
