Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
6,2,160,66,0.3739386253512843,48,38,true
2,2,25,0,0.9882152944495296,28,12,false
6,2,160,66,0.3800259905338865,46,42,true
1,2,49,9,0.16178298228555588,23,23,false
6,2,160,66,0.8800307156945613,35,30,true
6,2,160,66,0.09045827188656563,49,34,true
4,2,160,79,0.7618046441435944,50,37,false
4,2,160,79,0.9635122615835072,50,37,true
2,2,25,0,0.25790291181165914,19,8,false
1,1,49,0,0.5915629670715312,33,16,false
2,2,25,0,0.1909641026726282,40,20,false
6,2,160,66,0.08630201888612932,44,30,false
2,2,49,8,0.1170853332660935,27,16,false
1,1,49,0,0.4714611080612583,13,8,false
2,2,25,0,0.4985629695136561,34,15,false
2,2,25,0,0.17750525704769615,12,6,false
1,2,49,9,0.2481521012693919,43,43,false
1,2,49,9,0.2269186713290805,23,23,false
1,2,49,9,0.3844994645594203,33,33,false
6,2,160,66,0.6886589572993286,29,27,true
4,2,160,79,0.023552707901186798,38,29,false
1,1,49,0,0.2796508618426605,12,7,false
1,1,49,0,0.5027988534755842,42,32,false
2,2,25,0,0.5410305999520225,36,16,false
2,2,49,8,0.8240273355309343,38,19,false
6,2,160,66,0.40207537615172895,43,37,false
2,2,49,8,0.6869663971188444,38,20,false
2,2,49,8,0.03231023503962349,25,15,false
4,2,160,79,0.6725258547767011,25,23,false
6,2,160,66,0.6175127433135149,18,14,false
1,2,49,9,0.1849320089925811,19,19,false
6,2,160,66,0.9246782252691585,30,30,true
2,2,49,8,0.7494032679242049,23,12,false
1,1,49,0,0.676235408393153,13,8,false
2,2,25,0,0.6991903825518903,11,11,false
4,2,160,79,0.36758049508461665,41,18,true
1,1,49,0,0.07932662548598335,11,11,false
2,2,49,8,0.148558008511545,38,19,false
6,2,160,66,0.3376455937705187,23,23,false
4,2,160,79,0.09620613856521143,33,20,false
1,1,49,0,0.5035231938377444,23,23,false
6,2,160,66,0.5715284220636163,43,21,true
4,2,160,79,0.36545952402731896,21,21,false
1,2,49,9,0.9541669949767168,18,18,true
1,1,49,0,0.8309543910813864,24,18,false
4,2,160,79,0.8492361089638002,19,16,false
4,2,160,79,0.9454886291469912,50,38,true
2,2,25,0,0.7528710521398478,47,20,false
1,2,49,9,0.16117689106905875,31,31,false
2,2,25,0,0.38627291290403576,11,7,false
2,2,49,8,0.19976722599636432,26,14,false
2,2,49,8,0.47957987440912886,39,20,false
1,1,49,0,0.5791085406639737,40,18,false
1,2,49,9,0.45472831586345686,49,49,true
1,2,49,9,0.4989602036716214,43,43,false
1,2,49,9,0.21371276413838725,18,18,false
4,2,160,79,0.7523507309240656,45,31,false
4,2,160,79,0.7755739143244107,46,36,true
2,2,25,0,0.6890410135800036,36,15,false
2,2,49,8,0.23298221227497506,24,13,false
4,2,160,79,0.3489037368048469,39,39,false
2,2,25,0,0.4071825171911927,31,13,false
1,2,49,9,0.3376807016030531,45,45,true
2,2,25,0,0.9324694990638764,48,21,true
1,2,49,9,0.4790447559829082,27,27,false
1,2,49,9,0.8477251900085698,45,45,false
2,2,25,0,0.11548156237800455,25,12,false
1,2,49,9,0.5101326480815292,31,31,true
1,1,49,0,0.2208063244763364,27,13,false
6,2,160,66,0.23573429103939658,41,41,false
2,2,25,0,0.17227753598217244,11,6,false
1,1,49,0,0.5046940605118878,45,21,false
4,2,160,79,0.5706114667205107,48,27,false
2,2,25,0,0.4009235434693097,34,16,false
1,2,49,9,0.9305566484384669,25,25,false
1,1,49,0,0.9397588355541523,46,21,false
2,2,25,0,0.844309651388283,16,8,false
6,2,160,66,0.21238005606173416,45,28,false
1,1,49,0,0.05952209031625766,17,14,false
1,2,49,9,0.32327950715459186,50,50,true
2,2,49,8,0.637524031774531,46,22,true
2,2,49,8,0.7033821262441176,23,13,false
1,1,49,0,0.7513308999444422,41,19,false
4,2,160,79,0.35030634823988194,27,16,false
6,2,160,66,0.037558706859063595,36,28,false
4,2,160,79,0.32690667512437277,39,26,false
2,2,25,0,0.42664681245742675,11,6,false
1,2,49,9,0.04591931190115117,15,15,false
1,1,49,0,0.20688161884154022,11,7,false
1,2,49,9,0.6077780781538962,31,31,true
1,2,49,9,0.583964450928491,45,45,true
6,2,160,66,0.5954091027821692,34,34,true
1,1,49,0,0.4108790446055688,50,23,false
6,2,160,66,0.9966034798116921,36,19,true
2,2,49,8,0.12811272348568215,13,9,false
4,2,160,79,0.5558422884157554,22,15,false
4,2,160,79,0.25746630755819855,47,34,true
4,2,160,79,0.7505846837913192,44,27,false
6,2,160,66,0.6721859868201877,40,39,true
6,2,160,66,0.8061037235934937,47,27,false
4,2,160,79,0.2855685213383462,27,21,false
4,2,160,79,0.6896089157883586,47,41,true
2,2,25,0,0.482997688892408,48,22,true
1,1,49,0,0.9996382397236758,10,6,false
4,2,160,79,0.5484085576982186,19,17,false
1,2,49,9,0.5307698823204726,44,44,false
4,2,160,79,0.1076750873466592,14,14,false
2,2,25,0,0.06643208633071007,35,16,false
6,2,160,66,0.19008323313392939,10,6,false
2,2,25,0,0.14748648270511966,37,16,false
1,2,49,9,0.28217085644559625,19,19,false
1,1,49,0,0.908952771797375,40,19,false
1,1,49,0,0.410644805916909,43,20,false
1,2,49,9,0.0397000239839862,16,16,false
1,2,49,9,0.654726338236837,19,19,false
2,2,49,8,0.9657569439824774,45,22,false
6,2,160,66,0.34612833678720767,39,39,true
1,1,49,0,0.5536141631747342,47,23,false
2,2,49,8,0.27701448146957963,24,13,false
1,2,49,9,0.7968933965916133,40,40,false
1,1,49,0,0.26039347401114665,20,11,false
1,1,49,0,0.35708660230072997,44,19,false
4,2,160,79,0.13604117618728506,36,27,false
2,2,49,8,0.06021679271803604,23,14,false
1,1,49,0,0.3054038321933402,36,16,false
1,1,49,0,0.08398838982113765,40,19,false
4,2,160,79,0.9234811930360219,26,26,true
2,2,49,8,0.5082935606984568,43,22,false
1,1,49,0,0.6282031221149043,31,15,false
4,2,160,79,0.0852105484069372,29,19,false
2,2,49,8,0.4713242279490172,21,13,true
1,1,49,0,0.5399152736317109,12,7,false
